step,age,gender,zipcodeOri,zipMerchant,category,amount,fraud,timestampsource_transaction,source,target,device,event,timestampsource_user_data
92,3,M,28007,28007,es_transportation,56.78,0,2022-07-27 18:54:23.114820214,C1150646122,M1823072687,f34c52c59d7c45b9a8a3241d0f408e96,login,2022-09-18 12:51:41.894264
76,3,F,28007,28007,es_transportation,17.11,0,2022-07-27 03:23:43.328150969,C609452246,M1823072687,e9deb3acc50f4372b6657a26b8695843,details_change,2022-09-18 12:51:43.894843
114,1,F,28007,28007,es_contents,65.88,0,2022-07-27 19:28:24.704280354,C2085186254,M1313686961,17958b9d97164661b7fb5e0f895be0b0,login,2022-09-18 12:51:45.896242
127,3,M,28007,28007,es_transportation,16.06,0,2022-07-26 10:56:57.024736975,C181787207,M1823072687,4dc7860c93024b4f9efd33d9bafe4395,login,2022-09-18 12:51:47.898788
76,3,F,28007,28007,es_transportation,17.11,0,2022-07-27 03:23:43.328150969,C609452246,M1823072687,e9deb3acc50f4372b6657a26b8695843,login,2022-09-18 12:51:49.901345
99,4,M,28007,28007,es_wellnessandbeauty,194.65,0,2022-07-27 20:26:06.020643428,C1165343027,M1535107174,6c0d2b01fb364e1ca9e43a9c219b59c0,details_change,2022-09-18 12:51:51.903871
127,3,M,28007,28007,es_transportation,16.06,0,2022-07-26 10:56:57.024736975,C181787207,M1823072687,4dc7860c93024b4f9efd33d9bafe4395,login,2022-09-18 12:51:53.906404
127,3,M,28007,28007,es_transportation,16.06,0,2022-07-26 10:56:57.024736975,C181787207,M1823072687,4dc7860c93024b4f9efd33d9bafe4395,login,2022-09-18 12:51:55.907778
76,3,F,28007,28007,es_transportation,17.11,0,2022-07-27 03:23:43.328150969,C609452246,M1823072687,e9deb3acc50f4372b6657a26b8695843,login,2022-09-18 12:51:57.910319
76,3,F,28007,28007,es_transportation,17.11,0,2022-07-27 03:23:43.328150969,C609452246,M1823072687,e9deb3acc50f4372b6657a26b8695843,login,2022-09-18 12:51:59.912902
